Date,Close(t-10),Open(t-10),High(t-10),Low(t-10),Sentiment_Score(t-10),Adj Close(t-10),Close(t-9),Open(t-9),High(t-9),Low(t-9),Sentiment_Score(t-9),Adj Close(t-9),Close(t-8),Open(t-8),High(t-8),Low(t-8),Sentiment_Score(t-8),Adj Close(t-8),Close(t-7),Open(t-7),High(t-7),Low(t-7),Sentiment_Score(t-7),Adj Close(t-7),Close(t-6),Open(t-6),High(t-6),Low(t-6),Sentiment_Score(t-6),Adj Close(t-6),Close(t-5),Open(t-5),High(t-5),Low(t-5),Sentiment_Score(t-5),Adj Close(t-5),Close(t-4),Open(t-4),High(t-4),Low(t-4),Sentiment_Score(t-4),Adj Close(t-4),Close(t-3),Open(t-3),High(t-3),Low(t-3),Sentiment_Score(t-3),Adj Close(t-3),Close(t-2),Open(t-2),High(t-2),Low(t-2),Sentiment_Score(t-2),Adj Close(t-2),Close(t-1),Open(t-1),High(t-1),Low(t-1),Sentiment_Score(t-1),Adj Close(t-1),Close(t),Open(t),High(t),Low(t),Sentiment_Score(t),Adj Close(t)
2020-01-21,8037.53759765625,8162.19091796875,8218.359375,8029.64208984375,0.3,8037.53759765625,8192.494140625,8033.26171875,8200.0634765625,8009.05908203125,0.31,8192.494140625,8144.1943359375,8189.77197265625,8197.7880859375,8079.70068359375,0.13,8144.1943359375,8827.7646484375,8140.93310546875,8879.51171875,8140.93310546875,0.32,8827.7646484375,8807.0107421875,8825.34375,8890.1171875,8657.1875,0.02,8807.0107421875,8723.7861328125,8812.4814453125,8846.4609375,8612.095703125,-0.12,8723.7861328125,8929.0380859375,8725.2099609375,8958.1220703125,8677.31640625,0.2,8929.0380859375,8942.80859375,8927.2119140625,9012.1982421875,8827.33203125,0.12,8942.80859375,8706.2451171875,8941.4453125,9164.3623046875,8620.080078125,0.2,8706.2451171875,8657.642578125,8704.6318359375,8745.5908203125,8560.4736328125,0.17,8657.642578125,8745.89453125,8658.9912109375,8755.7060546875,8544.5205078125,0.4,8745.89453125
2020-01-22,8192.494140625,8033.26171875,8200.0634765625,8009.05908203125,0.31,8192.494140625,8144.1943359375,8189.77197265625,8197.7880859375,8079.70068359375,0.13,8144.1943359375,8827.7646484375,8140.93310546875,8879.51171875,8140.93310546875,0.32,8827.7646484375,8807.0107421875,8825.34375,8890.1171875,8657.1875,0.02,8807.0107421875,8723.7861328125,8812.4814453125,8846.4609375,8612.095703125,-0.12,8723.7861328125,8929.0380859375,8725.2099609375,8958.1220703125,8677.31640625,0.2,8929.0380859375,8942.80859375,8927.2119140625,9012.1982421875,8827.33203125,0.12,8942.80859375,8706.2451171875,8941.4453125,9164.3623046875,8620.080078125,0.2,8706.2451171875,8657.642578125,8704.6318359375,8745.5908203125,8560.4736328125,0.17,8657.642578125,8745.89453125,8658.9912109375,8755.7060546875,8544.5205078125,0.4,8745.89453125,8680.8759765625,8744.2109375,8792.994140625,8636.7470703125,-0.17,8680.8759765625
2020-01-23,8144.1943359375,8189.77197265625,8197.7880859375,8079.70068359375,0.13,8144.1943359375,8827.7646484375,8140.93310546875,8879.51171875,8140.93310546875,0.32,8827.7646484375,8807.0107421875,8825.34375,8890.1171875,8657.1875,0.02,8807.0107421875,8723.7861328125,8812.4814453125,8846.4609375,8612.095703125,-0.12,8723.7861328125,8929.0380859375,8725.2099609375,8958.1220703125,8677.31640625,0.2,8929.0380859375,8942.80859375,8927.2119140625,9012.1982421875,8827.33203125,0.12,8942.80859375,8706.2451171875,8941.4453125,9164.3623046875,8620.080078125,0.2,8706.2451171875,8657.642578125,8704.6318359375,8745.5908203125,8560.4736328125,0.17,8657.642578125,8745.89453125,8658.9912109375,8755.7060546875,8544.5205078125,0.4,8745.89453125,8680.8759765625,8744.2109375,8792.994140625,8636.7470703125,-0.17,8680.8759765625,8406.515625,8680.650390625,8687.7470703125,8333.6376953125,0.09,8406.515625
2020-01-24,8827.7646484375,8140.93310546875,8879.51171875,8140.93310546875,0.32,8827.7646484375,8807.0107421875,8825.34375,8890.1171875,8657.1875,0.02,8807.0107421875,8723.7861328125,8812.4814453125,8846.4609375,8612.095703125,-0.12,8723.7861328125,8929.0380859375,8725.2099609375,8958.1220703125,8677.31640625,0.2,8929.0380859375,8942.80859375,8927.2119140625,9012.1982421875,8827.33203125,0.12,8942.80859375,8706.2451171875,8941.4453125,9164.3623046875,8620.080078125,0.2,8706.2451171875,8657.642578125,8704.6318359375,8745.5908203125,8560.4736328125,0.17,8657.642578125,8745.89453125,8658.9912109375,8755.7060546875,8544.5205078125,0.4,8745.89453125,8680.8759765625,8744.2109375,8792.994140625,8636.7470703125,-0.17,8680.8759765625,8406.515625,8680.650390625,8687.7470703125,8333.6376953125,0.09,8406.515625,8445.4345703125,8405.5673828125,8514.6669921875,8266.8408203125,0.1,8445.4345703125
2020-01-25,8807.0107421875,8825.34375,8890.1171875,8657.1875,0.02,8807.0107421875,8723.7861328125,8812.4814453125,8846.4609375,8612.095703125,-0.12,8723.7861328125,8929.0380859375,8725.2099609375,8958.1220703125,8677.31640625,0.2,8929.0380859375,8942.80859375,8927.2119140625,9012.1982421875,8827.33203125,0.12,8942.80859375,8706.2451171875,8941.4453125,9164.3623046875,8620.080078125,0.2,8706.2451171875,8657.642578125,8704.6318359375,8745.5908203125,8560.4736328125,0.17,8657.642578125,8745.89453125,8658.9912109375,8755.7060546875,8544.5205078125,0.4,8745.89453125,8680.8759765625,8744.2109375,8792.994140625,8636.7470703125,-0.17,8680.8759765625,8406.515625,8680.650390625,8687.7470703125,8333.6376953125,0.09,8406.515625,8445.4345703125,8405.5673828125,8514.6669921875,8266.8408203125,0.1,8445.4345703125,8367.84765625,8440.119140625,8458.453125,8296.21875,0.16,8367.84765625
2020-01-26,8723.7861328125,8812.4814453125,8846.4609375,8612.095703125,-0.12,8723.7861328125,8929.0380859375,8725.2099609375,8958.1220703125,8677.31640625,0.2,8929.0380859375,8942.80859375,8927.2119140625,9012.1982421875,8827.33203125,0.12,8942.80859375,8706.2451171875,8941.4453125,9164.3623046875,8620.080078125,0.2,8706.2451171875,8657.642578125,8704.6318359375,8745.5908203125,8560.4736328125,0.17,8657.642578125,8745.89453125,8658.9912109375,8755.7060546875,8544.5205078125,0.4,8745.89453125,8680.8759765625,8744.2109375,8792.994140625,8636.7470703125,-0.17,8680.8759765625,8406.515625,8680.650390625,8687.7470703125,8333.6376953125,0.09,8406.515625,8445.4345703125,8405.5673828125,8514.6669921875,8266.8408203125,0.1,8445.4345703125,8367.84765625,8440.119140625,8458.453125,8296.21875,0.16,8367.84765625,8596.830078125,8364.41015625,8602.4013671875,8325.498046875,0.32,8596.830078125
2020-01-27,8929.0380859375,8725.2099609375,8958.1220703125,8677.31640625,0.2,8929.0380859375,8942.80859375,8927.2119140625,9012.1982421875,8827.33203125,0.12,8942.80859375,8706.2451171875,8941.4453125,9164.3623046875,8620.080078125,0.2,8706.2451171875,8657.642578125,8704.6318359375,8745.5908203125,8560.4736328125,0.17,8657.642578125,8745.89453125,8658.9912109375,8755.7060546875,8544.5205078125,0.4,8745.89453125,8680.8759765625,8744.2109375,8792.994140625,8636.7470703125,-0.17,8680.8759765625,8406.515625,8680.650390625,8687.7470703125,8333.6376953125,0.09,8406.515625,8445.4345703125,8405.5673828125,8514.6669921875,8266.8408203125,0.1,8445.4345703125,8367.84765625,8440.119140625,8458.453125,8296.21875,0.16,8367.84765625,8596.830078125,8364.41015625,8602.4013671875,8325.498046875,0.32,8596.830078125,8909.8193359375,8597.30859375,8977.7265625,8597.30859375,0.12,8909.8193359375
2020-01-28,8942.80859375,8927.2119140625,9012.1982421875,8827.33203125,0.12,8942.80859375,8706.2451171875,8941.4453125,9164.3623046875,8620.080078125,0.2,8706.2451171875,8657.642578125,8704.6318359375,8745.5908203125,8560.4736328125,0.17,8657.642578125,8745.89453125,8658.9912109375,8755.7060546875,8544.5205078125,0.4,8745.89453125,8680.8759765625,8744.2109375,8792.994140625,8636.7470703125,-0.17,8680.8759765625,8406.515625,8680.650390625,8687.7470703125,8333.6376953125,0.09,8406.515625,8445.4345703125,8405.5673828125,8514.6669921875,8266.8408203125,0.1,8445.4345703125,8367.84765625,8440.119140625,8458.453125,8296.21875,0.16,8367.84765625,8596.830078125,8364.41015625,8602.4013671875,8325.498046875,0.32,8596.830078125,8909.8193359375,8597.30859375,8977.7265625,8597.30859375,0.12,8909.8193359375,9358.58984375,8912.5244140625,9358.58984375,8908.447265625,0.4,9358.58984375
2020-01-29,8706.2451171875,8941.4453125,9164.3623046875,8620.080078125,0.2,8706.2451171875,8657.642578125,8704.6318359375,8745.5908203125,8560.4736328125,0.17,8657.642578125,8745.89453125,8658.9912109375,8755.7060546875,8544.5205078125,0.4,8745.89453125,8680.8759765625,8744.2109375,8792.994140625,8636.7470703125,-0.17,8680.8759765625,8406.515625,8680.650390625,8687.7470703125,8333.6376953125,0.09,8406.515625,8445.4345703125,8405.5673828125,8514.6669921875,8266.8408203125,0.1,8445.4345703125,8367.84765625,8440.119140625,8458.453125,8296.21875,0.16,8367.84765625,8596.830078125,8364.41015625,8602.4013671875,8325.498046875,0.32,8596.830078125,8909.8193359375,8597.30859375,8977.7265625,8597.30859375,0.12,8909.8193359375,9358.58984375,8912.5244140625,9358.58984375,8908.447265625,0.4,9358.58984375,9316.6298828125,9357.470703125,9406.431640625,9269.4677734375,0.21,9316.6298828125
2020-01-30,8657.642578125,8704.6318359375,8745.5908203125,8560.4736328125,0.17,8657.642578125,8745.89453125,8658.9912109375,8755.7060546875,8544.5205078125,0.4,8745.89453125,8680.8759765625,8744.2109375,8792.994140625,8636.7470703125,-0.17,8680.8759765625,8406.515625,8680.650390625,8687.7470703125,8333.6376953125,0.09,8406.515625,8445.4345703125,8405.5673828125,8514.6669921875,8266.8408203125,0.1,8445.4345703125,8367.84765625,8440.119140625,8458.453125,8296.21875,0.16,8367.84765625,8596.830078125,8364.41015625,8602.4013671875,8325.498046875,0.32,8596.830078125,8909.8193359375,8597.30859375,8977.7265625,8597.30859375,0.12,8909.8193359375,9358.58984375,8912.5244140625,9358.58984375,8908.447265625,0.4,9358.58984375,9316.6298828125,9357.470703125,9406.431640625,9269.4677734375,0.21,9316.6298828125,9508.9931640625,9316.0166015625,9553.1259765625,9230.8974609375,-0.29,9508.9931640625
2020-01-31,8745.89453125,8658.9912109375,8755.7060546875,8544.5205078125,0.4,8745.89453125,8680.8759765625,8744.2109375,8792.994140625,8636.7470703125,-0.17,8680.8759765625,8406.515625,8680.650390625,8687.7470703125,8333.6376953125,0.09,8406.515625,8445.4345703125,8405.5673828125,8514.6669921875,8266.8408203125,0.1,8445.4345703125,8367.84765625,8440.119140625,8458.453125,8296.21875,0.16,8367.84765625,8596.830078125,8364.41015625,8602.4013671875,8325.498046875,0.32,8596.830078125,8909.8193359375,8597.30859375,8977.7265625,8597.30859375,0.12,8909.8193359375,9358.58984375,8912.5244140625,9358.58984375,8908.447265625,0.4,9358.58984375,9316.6298828125,9357.470703125,9406.431640625,9269.4677734375,0.21,9316.6298828125,9508.9931640625,9316.0166015625,9553.1259765625,9230.8974609375,-0.29,9508.9931640625,9350.529296875,9508.3134765625,9521.7060546875,9230.7763671875,0.25,9350.529296875
2020-02-01,8680.8759765625,8744.2109375,8792.994140625,8636.7470703125,-0.17,8680.8759765625,8406.515625,8680.650390625,8687.7470703125,8333.6376953125,0.09,8406.515625,8445.4345703125,8405.5673828125,8514.6669921875,8266.8408203125,0.1,8445.4345703125,8367.84765625,8440.119140625,8458.453125,8296.21875,0.16,8367.84765625,8596.830078125,8364.41015625,8602.4013671875,8325.498046875,0.32,8596.830078125,8909.8193359375,8597.30859375,8977.7265625,8597.30859375,0.12,8909.8193359375,9358.58984375,8912.5244140625,9358.58984375,8908.447265625,0.4,9358.58984375,9316.6298828125,9357.470703125,9406.431640625,9269.4677734375,0.21,9316.6298828125,9508.9931640625,9316.0166015625,9553.1259765625,9230.8974609375,-0.29,9508.9931640625,9350.529296875,9508.3134765625,9521.7060546875,9230.7763671875,0.25,9350.529296875,9392.875,9346.357421875,9439.3232421875,9313.2392578125,0.25,9392.875
2020-02-02,8406.515625,8680.650390625,8687.7470703125,8333.6376953125,0.09,8406.515625,8445.4345703125,8405.5673828125,8514.6669921875,8266.8408203125,0.1,8445.4345703125,8367.84765625,8440.119140625,8458.453125,8296.21875,0.16,8367.84765625,8596.830078125,8364.41015625,8602.4013671875,8325.498046875,0.32,8596.830078125,8909.8193359375,8597.30859375,8977.7265625,8597.30859375,0.12,8909.8193359375,9358.58984375,8912.5244140625,9358.58984375,8908.447265625,0.4,9358.58984375,9316.6298828125,9357.470703125,9406.431640625,9269.4677734375,0.21,9316.6298828125,9508.9931640625,9316.0166015625,9553.1259765625,9230.8974609375,-0.29,9508.9931640625,9350.529296875,9508.3134765625,9521.7060546875,9230.7763671875,0.25,9350.529296875,9392.875,9346.357421875,9439.3232421875,9313.2392578125,0.25,9392.875,9344.365234375,9389.8203125,9468.7978515625,9217.82421875,-0.07,9344.365234375
2020-02-03,8445.4345703125,8405.5673828125,8514.6669921875,8266.8408203125,0.1,8445.4345703125,8367.84765625,8440.119140625,8458.453125,8296.21875,0.16,8367.84765625,8596.830078125,8364.41015625,8602.4013671875,8325.498046875,0.32,8596.830078125,8909.8193359375,8597.30859375,8977.7265625,8597.30859375,0.12,8909.8193359375,9358.58984375,8912.5244140625,9358.58984375,8908.447265625,0.4,9358.58984375,9316.6298828125,9357.470703125,9406.431640625,9269.4677734375,0.21,9316.6298828125,9508.9931640625,9316.0166015625,9553.1259765625,9230.8974609375,-0.29,9508.9931640625,9350.529296875,9508.3134765625,9521.7060546875,9230.7763671875,0.25,9350.529296875,9392.875,9346.357421875,9439.3232421875,9313.2392578125,0.25,9392.875,9344.365234375,9389.8203125,9468.7978515625,9217.82421875,-0.07,9344.365234375,9293.521484375,9344.68359375,9540.3720703125,9248.6337890625,0.11,9293.521484375
2020-02-04,8367.84765625,8440.119140625,8458.453125,8296.21875,0.16,8367.84765625,8596.830078125,8364.41015625,8602.4013671875,8325.498046875,0.32,8596.830078125,8909.8193359375,8597.30859375,8977.7265625,8597.30859375,0.12,8909.8193359375,9358.58984375,8912.5244140625,9358.58984375,8908.447265625,0.4,9358.58984375,9316.6298828125,9357.470703125,9406.431640625,9269.4677734375,0.21,9316.6298828125,9508.9931640625,9316.0166015625,9553.1259765625,9230.8974609375,-0.29,9508.9931640625,9350.529296875,9508.3134765625,9521.7060546875,9230.7763671875,0.25,9350.529296875,9392.875,9346.357421875,9439.3232421875,9313.2392578125,0.25,9392.875,9344.365234375,9389.8203125,9468.7978515625,9217.82421875,-0.07,9344.365234375,9293.521484375,9344.68359375,9540.3720703125,9248.6337890625,0.11,9293.521484375,9180.962890625,9292.841796875,9331.265625,9112.8115234375,0.03,9180.962890625
2020-02-05,8596.830078125,8364.41015625,8602.4013671875,8325.498046875,0.32,8596.830078125,8909.8193359375,8597.30859375,8977.7265625,8597.30859375,0.12,8909.8193359375,9358.58984375,8912.5244140625,9358.58984375,8908.447265625,0.4,9358.58984375,9316.6298828125,9357.470703125,9406.431640625,9269.4677734375,0.21,9316.6298828125,9508.9931640625,9316.0166015625,9553.1259765625,9230.8974609375,-0.29,9508.9931640625,9350.529296875,9508.3134765625,9521.7060546875,9230.7763671875,0.25,9350.529296875,9392.875,9346.357421875,9439.3232421875,9313.2392578125,0.25,9392.875,9344.365234375,9389.8203125,9468.7978515625,9217.82421875,-0.07,9344.365234375,9293.521484375,9344.68359375,9540.3720703125,9248.6337890625,0.11,9293.521484375,9180.962890625,9292.841796875,9331.265625,9112.8115234375,0.03,9180.962890625,9613.423828125,9183.416015625,9701.2998046875,9163.7041015625,0.04,9613.423828125
2020-02-06,8909.8193359375,8597.30859375,8977.7265625,8597.30859375,0.12,8909.8193359375,9358.58984375,8912.5244140625,9358.58984375,8908.447265625,0.4,9358.58984375,9316.6298828125,9357.470703125,9406.431640625,9269.4677734375,0.21,9316.6298828125,9508.9931640625,9316.0166015625,9553.1259765625,9230.8974609375,-0.29,9508.9931640625,9350.529296875,9508.3134765625,9521.7060546875,9230.7763671875,0.25,9350.529296875,9392.875,9346.357421875,9439.3232421875,9313.2392578125,0.25,9392.875,9344.365234375,9389.8203125,9468.7978515625,9217.82421875,-0.07,9344.365234375,9293.521484375,9344.68359375,9540.3720703125,9248.6337890625,0.11,9293.521484375,9180.962890625,9292.841796875,9331.265625,9112.8115234375,0.03,9180.962890625,9613.423828125,9183.416015625,9701.2998046875,9163.7041015625,0.04,9613.423828125,9729.8017578125,9617.8212890625,9824.619140625,9539.818359375,0.04,9729.8017578125
